Weekly U.S. Field Production of Crude Oil (Thousand Barrels per Day),,,,,,,,,,
Year-Month,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,
,End Date,Value,End Date,Value,End Date,Value,End Date,Value,End Date,Value
  2000-Jun,06/02 ,"5,704   ",06/09 ,"5,804   ",06/16 ,"5,791   ",06/23 ,"5,726   ",06/30 ,"5,732   "
  2000-Jul,07/07 ,"5,766   ",07/14 ,"5,788   ",07/21 ,"5,769   ",07/28 ,"5,764   ",,   
  2000-Aug,08/04 ,"5,778   ",08/11 ,"5,745   ",08/18 ,"5,773   ",08/25 ,"5,782   ",,   
  2000-Sep,09/01 ,"5,783   ",09/08 ,"5,802   ",09/15 ,"5,803   ",09/22 ,"5,680   ",09/29 ,"5,862   "
  2000-Oct,10/06 ,"5,867   ",10/13 ,"5,864   ",10/20 ,"5,880   ",10/27 ,"5,894   ",,   
  2000-Nov,11/03 ,"5,903   ",11/10 ,"5,889   ",11/17 ,"5,854   ",11/24 ,"5,883   ",,   
  2000-Dec,12/01 ,"5,925   ",12/08 ,"5,903   ",12/15 ,"5,897   ",12/22 ,"5,875   ",12/29 ,"5,903   "
  2001-Jan,01/05 ,"5,944   ",01/12 ,"5,949   ",01/19 ,"5,912   ",01/26 ,"5,935   ",,   
  2001-Feb,02/02 ,"5,929   ",02/09 ,"5,866   ",02/16 ,"5,857   ",02/23 ,"5,875   ",,   
  2001-Mar,03/02 ,"5,876   ",03/09 ,"5,868   ",03/16 ,"5,883   ",03/23 ,"5,868   ",03/30 ,"5,883   "
  2001-Apr,04/06 ,"5,867   ",04/13 ,"5,855   ",04/20 ,"5,861   ",04/27 ,"5,884   ",,   
  2001-May,05/04 ,"5,831   ",05/11 ,"5,780   ",05/18 ,"5,785   ",05/25 ,"5,819   ",,   
  2001-Jun,06/01 ,"5,823   ",06/08 ,"5,746   ",06/15 ,"5,726   ",06/22 ,"5,740   ",06/29 ,"5,756   "
  2001-Jul,07/06 ,"5,756   ",07/13 ,"5,770   ",07/20 ,"5,731   ",07/27 ,"5,705   ",,   
  2001-Aug,08/03 ,"5,745   ",08/10 ,"5,773   ",08/17 ,"5,785   ",08/24 ,"5,796   ",08/31 ,"5,751   "
  2001-Sep,09/07 ,"5,829   ",09/14 ,"5,814   ",09/21 ,"5,789   ",09/28 ,"5,735   ",,   
  2001-Oct,10/05 ,"5,736   ",10/12 ,"5,515   ",10/19 ,"5,828   ",10/26 ,"5,879   ",,   
  2001-Nov,11/02 ,"5,859   ",11/09 ,"5,863   ",11/16 ,"5,872   ",11/23 ,"5,882   ",11/30 ,"5,873   "
  2001-Dec,12/07 ,"5,856   ",12/14 ,"5,884   ",12/21 ,"5,911   ",12/28 ,"5,902   ",,   
  2002-Jan,01/04 ,"5,922   ",01/11 ,"5,922   ",01/18 ,"5,911   ",01/25 ,"5,909   ",,   
  2002-Feb,02/01 ,"5,916   ",02/08 ,"5,952   ",02/15 ,"5,927   ",02/22 ,"5,956   ",,   
  2002-Mar,03/01 ,"5,966   ",03/08 ,"5,947   ",03/15 ,"5,975   ",03/22 ,"5,948   ",03/29 ,"5,956   "
  2002-Apr,04/05 ,"5,916   ",04/12 ,"5,922   ",04/19 ,"5,896   ",04/26 ,"5,865   ",,   
  2002-May,05/03 ,"5,879   ",05/10 ,"5,889   ",05/17 ,"5,894   ",05/24 ,"5,890   ",05/31 ,"5,896   "
  2002-Jun,06/07 ,"5,897   ",06/14 ,"5,910   ",06/21 ,"5,939   ",06/28 ,"5,917   ",,   
  2002-Jul,07/05 ,"5,898   ",07/12 ,"5,885   ",07/19 ,"5,839   ",07/26 ,"5,844   ",,   
  2002-Aug,08/02 ,"5,604   ",08/09 ,"5,858   ",08/16 ,"5,907   ",08/23 ,"5,918   ",08/30 ,"5,883   "
  2002-Sep,09/06 ,"5,773   ",09/13 ,"5,716   ",09/20 ,"5,736   ",09/27 ,"5,190   ",,   
  2002-Oct,10/04 ,"4,803   ",10/11 ,"5,490   ",10/18 ,"5,721   ",10/25 ,"5,714   ",,   
  2002-Nov,11/01 ,"5,711   ",11/08 ,"5,349   ",11/15 ,"5,738   ",11/22 ,"5,754   ",11/29 ,"5,740   "
  2002-Dec,12/06 ,"5,763   ",12/13 ,"5,752   ",12/20 ,"5,758   ",12/27 ,"5,749   ",,   
  2003-Jan,01/03 ,"5,752   ",01/10 ,"5,728   ",01/17 ,"5,702   ",01/24 ,"5,739   ",01/31 ,"5,764   "
